DAY,STORES,CONGESTION,OSM_ID,LARGER_THAN_200M,KMH,CATEGORY,HOUR,MIN
MONDAY   ,OPEN,0,176665188,YES,50,KA_1K,17,15
MONDAY   ,CLOSED,0,176665188,YES,50,KA_1K,22,0
TUESDAY  ,OPEN,0,176665188,YES,50,KA_1K,18,30
WEDNESDAY,OPEN,0,176665188,YES,50,KA_1K,14,30
WEDNESDAY,CLOSED,0,176665188,YES,50,KA_1K,20,45
WEDNESDAY,CLOSING,0,176665188,YES,50,KA_1K,18,0
WEDNESDAY,OPEN,0,176665188,YES,50,KA_1K,17,0
FRIDAY   ,OPEN,1,176665188,YES,50,KA_1K,12,0
THURSDAY ,CLOSING,1,176665188,YES,50,KA_1K,21,15
SUNDAY   ,CLOSED,1,176665188,YES,50,KA_1K,22,15
MONDAY   ,CLOSED,0,176665188,YES,50,KA_1K,1,0
MONDAY   ,CLOSED,0,176665188,YES,50,KA_1K,1,30
MONDAY   ,OPEN,1,176665188,YES,50,KA_1K,15,15
WEDNESDAY,CLOSED,0,176665188,YES,50,KA_1K,0,45
WEDNESDAY,CLOSED,0,176665188,YES,50,KA_1K,1,30
WEDNESDAY,OPEN,0,176665188,YES,50,KA_1K,12,0
WEDNESDAY,CLOSED,0,176665188,YES,50,KA_1K,19,45
WEDNESDAY,CLOSED,1,176665188,YES,50,KA_1K,21,45
WEDNESDAY,CLOSED,0,176665188,YES,50,KA_1K,23,15
WEDNESDAY,CLOSED,0,176665188,YES,50,KA_1K,23,45
THURSDAY ,CLOSED,0,176665188,YES,50,KA_1K,2,30
THURSDAY ,CLOSED,0,176665188,YES,50,KA_1K,4,0
THURSDAY ,CLOSED,0,176665188,YES,50,KA_1K,4,30
THURSDAY ,CLOSED,0,176665188,YES,50,KA_1K,4,45
THURSDAY ,CLOSED,0,176665188,YES,50,KA_1K,6,0
THURSDAY ,CLOSED,0,176665188,YES,50,KA_1K,6,30
THURSDAY ,OPEN,0,176665188,YES,50,KA_1K,14,45
THURSDAY ,OPEN,0,176665188,YES,50,KA_1K,16,15
THURSDAY ,OPEN,0,176665188,YES,50,KA_1K,18,45
FRIDAY   ,OPEN,0,176665188,YES,50,KA_1K,11,15
FRIDAY   ,OPEN,1,176665188,YES,50,KA_1K,12,15
