TIME,DAY,STORES,CONGESTION,OSM_ID,LARGER_THAN_200M,KMH,CATEGORY
17:15,MONDAY   ,OPEN,0,176665188,YES,50,KA_1K
22:00,MONDAY   ,CLOSED,0,176665188,YES,50,KA_1K
18:30,TUESDAY  ,OPEN,0,176665188,YES,50,KA_1K
14:30,WEDNESDAY,OPEN,0,176665188,YES,50,KA_1K
20:45,WEDNESDAY,CLOSED,0,176665188,YES,50,KA_1K
18:00,WEDNESDAY,CLOSING,0,176665188,YES,50,KA_1K
17:00,WEDNESDAY,OPEN,0,176665188,YES,50,KA_1K
12:00,FRIDAY   ,OPEN,1,176665188,YES,50,KA_1K
21:15,THURSDAY ,CLOSING,1,176665188,YES,50,KA_1K
22:15,SUNDAY   ,CLOSED,1,176665188,YES,50,KA_1K
01:00,MONDAY   ,CLOSED,0,176665188,YES,50,KA_1K
01:30,MONDAY   ,CLOSED,0,176665188,YES,50,KA_1K
15:15,MONDAY   ,OPEN,1,176665188,YES,50,KA_1K
00:45,WEDNESDAY,CLOSED,0,176665188,YES,50,KA_1K
01:30,WEDNESDAY,CLOSED,0,176665188,YES,50,KA_1K
12:00,WEDNESDAY,OPEN,0,176665188,YES,50,KA_1K
19:45,WEDNESDAY,CLOSED,0,176665188,YES,50,KA_1K
21:45,WEDNESDAY,CLOSED,1,176665188,YES,50,KA_1K
23:15,WEDNESDAY,CLOSED,0,176665188,YES,50,KA_1K
23:45,WEDNESDAY,CLOSED,0,176665188,YES,50,KA_1K
02:30,THURSDAY ,CLOSED,0,176665188,YES,50,KA_1K
04:00,THURSDAY ,CLOSED,0,176665188,YES,50,KA_1K
04:30,THURSDAY ,CLOSED,0,176665188,YES,50,KA_1K
04:45,THURSDAY ,CLOSED,0,176665188,YES,50,KA_1K
06:00,THURSDAY ,CLOSED,0,176665188,YES,50,KA_1K
06:30,THURSDAY ,CLOSED,0,176665188,YES,50,KA_1K
14:45,THURSDAY ,OPEN,0,176665188,YES,50,KA_1K
16:15,THURSDAY ,OPEN,0,176665188,YES,50,KA_1K
18:45,THURSDAY ,OPEN,0,176665188,YES,50,KA_1K
11:15,FRIDAY   ,OPEN,0,176665188,YES,50,KA_1K
12:15,FRIDAY   ,OPEN,1,176665188,YES,50,KA_1K
13:45,FRIDAY   ,OPEN,1,176665188,YES,50,KA_1K
16:30,FRIDAY   ,OPEN,1,176665188,YES,50,KA_1K
17:45,FRIDAY   ,OPEN,0,176665188,YES,50,KA_1K
23:15,FRIDAY   ,CLOSED,1,176665188,YES,50,KA_1K
09:00,SATURDAY ,OPEN,0,176665188,YES,50,KA_1K
10:00,SATURDAY ,OPEN,0,176665188,YES,50,KA_1K
10:15,SATURDAY ,OPEN,0,176665188,YES,50,KA_1K
10:30,SATURDAY ,OPEN,0,176665188,YES,50,KA_1K
12:30,SATURDAY ,OPEN,0,176665188,YES,50,KA_1K
13:15,SATURDAY ,OPEN,0,176665188,YES,50,KA_1K
13:30,SATURDAY ,OPEN,0,176665188,YES,50,KA_1K
15:15,SATURDAY ,OPEN,0,176665188,YES,50,KA_1K
