TIME,DAY,STORES,CONGESTION,OSM_ID,ROAD_LENGTH_M,KMH,CATEGORY
15:45,WEDNESDAY,OPEN,2,197107694,154,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,197107695,103,49,PRIMARY
15:45,WEDNESDAY,OPEN,1,197295215,175,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,197295217,504,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,200375694,255,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,200375695,226,44,SECONDARY
13:00,WEDNESDAY,OPEN,2,200375703,266,36,TERTIARY
13:45,WEDNESDAY,OPEN,2,200375703,266,36,TERTIARY
14:45,WEDNESDAY,OPEN,2,200391985,322,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,200392011,715,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,200504295,128,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,200504299,122,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,200504304,493,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,200504307,270,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,200504383,10,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,200524833,180,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,200524834,362,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,200524835,91,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,200524836,55,44,SECONDARY
14:45,WEDNESDAY,OPEN,1,200524838,96,36,TERTIARY
15:45,WEDNESDAY,OPEN,1,200524845,79,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,200524848,358,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,200524849,169,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,200524851,81,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,200524853,35,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,200524854,70,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,200524858,125,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,200820983,243,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,200820984,222,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,200820985,188,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,206889665,479,49,PRIMARY
14:30,WEDNESDAY,OPEN,2,206892512,280,36,TERTIARY
15:00,WEDNESDAY,OPEN,2,206892512,280,36,TERTIARY
15:30,WEDNESDAY,OPEN,1,206892517,88,36,TERTIARY
09:30,WEDNESDAY,OPEN,2,206892517,88,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,206892518,393,36,TERTIARY
14:45,WEDNESDAY,OPEN,2,207005412,191,36,TERTIARY
15:45,WEDNESDAY,OPEN,1,207024075,13,36,TERTIARY
15:45,WEDNESDAY,OPEN,1,207024079,31,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,207024082,612,80,TRUNK
15:45,WEDNESDAY,OPEN,2,207024086,211,80,TRUNK
15:45,WEDNESDAY,OPEN,2,207024087,114,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,207024087,114,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,207024091,779,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,207024091,779,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,207024109,47,36,TERTIARY
14:00,WEDNESDAY,OPEN,1,207024111,83,36,TERTIARY
13:00,WEDNESDAY,OPEN,1,207024111,83,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,207094482,285,49,PRIMARY
13:15,WEDNESDAY,OPEN,2,207094483,262,36,TERTIARY
13:45,WEDNESDAY,OPEN,2,207094483,262,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,207094484,47,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,207094487,404,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,207094489,88,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,207094492,961,49,PRIMARY
15:30,WEDNESDAY,OPEN,2,207094499,455,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,207094499,455,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,207094502,433,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,207094502,433,44,SECONDARY
11:30,WEDNESDAY,OPEN,2,207094503,239,44,SECONDARY
14:45,WEDNESDAY,OPEN,2,207094503,239,44,SECONDARY
15:30,WEDNESDAY,OPEN,2,207312699,22,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,207312702,43,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,207312703,122,49,PRIMARY
10:00,WEDNESDAY,OPEN,2,207312705,191,36,TERTIARY
15:00,WEDNESDAY,OPEN,2,207312705,191,36,TERTIARY
15:45,WEDNESDAY,OPEN,1,207312706,275,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,207312706,275,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,212708198,76,36,TERTIARY
15:45,WEDNESDAY,OPEN,1,212733489,36,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,212817479,125,36,TERTIARY
13:15,WEDNESDAY,OPEN,1,212817479,125,36,TERTIARY
15:15,WEDNESDAY,OPEN,2,213468555,390,36,TERTIARY
15:15,WEDNESDAY,OPEN,2,213468555,390,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,213501984,181,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,213501984,181,36,TERTIARY
14:30,WEDNESDAY,OPEN,1,213505921,319,36,TERTIARY
14:30,WEDNESDAY,OPEN,2,213505921,319,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,213516652,284,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,213518448,356,36,TERTIARY
15:45,WEDNESDAY,OPEN,1,213538034,116,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,213853701,648,49,PRIMARY
13:30,WEDNESDAY,OPEN,2,213903232,755,36,TERTIARY
15:15,WEDNESDAY,OPEN,2,213903232,755,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,213910032,142,44,SECONDARY
15:00,WEDNESDAY,OPEN,2,213910032,142,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,213910068,818,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,213910068,818,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,218863992,87,36,TERTIARY
15:15,WEDNESDAY,OPEN,2,218863996,309,36,TERTIARY
15:00,WEDNESDAY,OPEN,2,218863996,309,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,218864687,398,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,218864687,398,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,219017958,1255,44,SECONDARY
15:15,WEDNESDAY,OPEN,2,219017958,1255,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,223277460,262,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,223277460,262,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,257192521,290,44,SECONDARY
15:00,WEDNESDAY,OPEN,2,257192521,290,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,257199512,34,44,SECONDARY
10:30,WEDNESDAY,OPEN,2,257725243,106,44,SECONDARY
15:15,WEDNESDAY,OPEN,2,257725243,106,44,SECONDARY
15:30,WEDNESDAY,OPEN,1,262422833,30,44,SECONDARY
15:30,WEDNESDAY,OPEN,1,262422835,12,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,272838649,174,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,279717957,5,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,282044815,493,36,TERTIARY
12:30,WEDNESDAY,OPEN,2,282646866,128,36,TERTIARY
14:45,WEDNESDAY,OPEN,2,282646866,128,36,TERTIARY
15:45,WEDNESDAY,OPEN,1,302472924,88,49,PRIMARY
09:15,WEDNESDAY,OPEN,1,310641352,236,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,310641352,236,36,TERTIARY
15:15,WEDNESDAY,OPEN,2,311169057,275,50,TRUNK_LINK
11:45,WEDNESDAY,OPEN,1,313707481,110,36,TERTIARY
12:15,WEDNESDAY,OPEN,1,313937350,85,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,313937351,121,44,SECONDARY
15:30,WEDNESDAY,OPEN,2,313937351,121,44,SECONDARY
10:45,WEDNESDAY,OPEN,1,317380472,48,36,TERTIARY
11:15,WEDNESDAY,OPEN,1,317380472,48,36,TERTIARY
15:45,WEDNESDAY,OPEN,1,318179043,51,49,PRIMARY
14:45,WEDNESDAY,OPEN,2,319245977,419,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,319245977,419,44,SECONDARY
15:15,WEDNESDAY,OPEN,2,323314254,105,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,323314254,105,44,SECONDARY
15:15,WEDNESDAY,OPEN,2,323710173,724,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,323710173,724,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,325280713,178,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,329731961,421,44,SECONDARY
15:15,WEDNESDAY,OPEN,2,329731961,421,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,329731963,168,36,TERTIARY
15:45,WEDNESDAY,OPEN,1,329744489,24,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,329744490,379,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,331501438,87,50,TRUNK_LINK
15:30,WEDNESDAY,OPEN,2,331514096,43,47,PRIMARY_LINK
15:45,WEDNESDAY,OPEN,2,331514105,78,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,333132701,371,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,333132701,371,44,SECONDARY
15:15,WEDNESDAY,OPEN,1,333132702,62,44,SECONDARY
14:45,WEDNESDAY,OPEN,2,333132702,62,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,333794854,148,50,TRUNK_LINK
15:45,WEDNESDAY,OPEN,1,335683243,189,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,335683252,995,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,335683258,133,36,TERTIARY
15:15,WEDNESDAY,OPEN,2,335683267,802,80,TRUNK
15:15,WEDNESDAY,OPEN,2,335683268,81,44,SECONDARY
14:45,WEDNESDAY,OPEN,2,335683269,114,36,TERTIARY
15:15,WEDNESDAY,OPEN,2,335683279,28,44,SECONDARY
18:45,TUESDAY,OPEN,2,335683294,311,36,TERTIARY
15:45,WEDNESDAY,OPEN,1,335683294,311,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,336597926,306,49,PRIMARY
15:15,WEDNESDAY,OPEN,2,338818253,279,50,TRUNK_LINK
15:30,WEDNESDAY,OPEN,2,338818257,397,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,338818259,121,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,339048206,398,44,SECONDARY
